type	var	value	cell	Mean	center
low	A34956.CEMT_28.H3K36me3.hg38.bwa.sb.IX2824.C3YJAACXX_6_AGTTCC.bam	1.28755417079684e-06	CLL	3.06860173836025e-07	CEMT
low	A34963.CEMT_29.H3K36me3.hg38.bwa.sb.IX2824.C3YJAACXX_6_CCACGC.bam	1.23913001357636e-06	CLL	5.08667914828591e-07	CEMT
low	A35240.CEMT_25.H3K36me3.hg38.bwa.sb.IX2652.C3TC1ACXX_2_GCACTT.bam	1.08524110258956e-06	CLL	3.70933934283466e-07	CEMT
low	A35247.CEMT_30.H3K36me3.hg38.bwa.sb.IX2824.C3YJAACXX_6_GGCTAC.bam	1.16966872919279e-06	CLL	3.55287922883287e-07	CEMT
low	A60647.CEMT_94.H3K36me3.hg38.bwa.sb.IX4417.C9587ANXX_2_AGCGCT.bam	1.20482548547701e-06	CLL	9.9371747871604e-07	CEMT
low	A60654.CEMT_95.H3K36me3.hg38.bwa.sb.IX4417.C9587ANXX_2_AGTTCC.bam	1.02171576676981e-06	CLL	1.05301773766483e-06	CEMT
low	A60661.CEMT_96.H3K36me3.hg38.bwa.sb.IX4417.C9587ANXX_2_CCACGC.bam	1.14461934793325e-06	CLL	1.09629705087395e-06	CEMT
low	A60666.CEMT_97.H3K36me3.hg38.bwa.sb.IX4419.C9587ANXX_4_ATGTCA.bam	1.20918056460492e-06	CLL	1.05777215778154e-06	CEMT
low	A68890.CEMT_129.H3K36me3.hg38.bwa.sb.IX5127.CAVYBANXX_5_ATCCTA.bam	2.23817311500904e-07	GCBC	1.94727696048854e-06	CEMT
low	A70852.CEMT_134.H3K36me3.hg38.IX5208.CAVPBANXX_1_ACAGTG.bam	1.52495121363369e-07	GCBC	2.12512578548894e-06	CEMT
low	A70859.CEMT_135.H3K36me3.hg38.A70859_2_lanes_dupsFlagged.bam	1.23319349946711e-07	GCBC	2.11190347311709e-06	CEMT
low	A70866.CEMT_136.H3K36me3.hg38.IX5211.CAVPBANXX_4_ACTGAT.bam	3.53686489607595e-07	GCBC	1.87997426093795e-06	CEMT
low	A70873.CEMT_137.H3K36me3.hg38.IX5212.CAVPBANXX_5_ATCCTA.bam	3.38983225193009e-07	GCBC	1.87176058741765e-06	CEMT
low	A70880.CEMT_138.H3K36me3.hg38.IX5214.CAVPBANXX_7_CACTCA.bam	3.46471704485603e-07	GCBC	1.9799471838855e-06	CEMT
low	EGAN00001091882_EGAX00001135678_EGAR00001139764_NBC_H3K36me3_SINGLE.bam	6.81358640810209e-07	NBC	1.48080976481611e-06	Blueprint
low	EGAN00001091897_EGAX00001135685_EGAR00001139767_NBC_H3K36me3_SINGLE.bam	3.43563509432536e-07	NBC	1.43886639168099e-06	Blueprint
low	EGAN00001095818_EGAX00001133241_EGAR00001137327_NBC_H3K36me3_SINGLE.bam	2.21174559293103e-07	NBC	1.5677411602498e-06	Blueprint
