A.geneID	CLL_1	GCBC_129	GCBC_134	GCBC_135	GCBC_136	GCBC_137	GCBC_138	CLL_25	CLL_26	CLL_27	CLL_28	CLL_29	CLL_30	CLL_4	CLL_5	CLL_6	CLL_92	CLL_93	CLL_94	CLL_95	CLL_96	CLL_97
ENSG00000040633	13.0689	21.453	18.9944	20.5646	19.8359	20.7308	17.4825	6.39181	4.09272	7.37213	6.53127	6.3167	7.00239	6.85082	5.13239	6.64706	13.6566	13.1806	4.10109	6.56516	5.75756	7.9472
ENSG00000040731	0	0	0	0	0	0	0	0	0.00997212	0	0	0.00211979	0	0	0	0	0	0	0	0	0	0
ENSG00000040933	3.64212	2.32816	2.37637	2.35223	2.4403	2.12211	2.62537	1.07803	2.98377	4.19138	2.35334	0.760826	3.73331	3.69243	3.6986	2.59354	1.94832	1.6868	1.73991	3.04365	1.55139	2.36019
ENSG00000041353	0.00996959	0.00707288	0.00539028	0.00511867	0.00374846	0.0107609	0.0113728	0.134902	0.0589147	0.15814	0.0511235	0.0483128	0.561748	0.213114	0.135923	0.234672	0.0387838	0.0192699	0.00414554	0.826873	0.220222	0.0126278
ENSG00000041357	11.7213	14.3957	15.3651	16.0884	18.2509	16.2812	17.2858	12.309	11.35	19.6133	10.4313	18.7127	18.5909	14.5493	16.4566	9.3915	25.5632	12.299	21.7136	12.2714	12.551	12.503
ENSG00000041515	0	0.00428105	0.00797529	0.00415867	0.00604021	0.00437627	0.00764858	0	0.0078209	0.0105014	0	0	0	0	0.00257742	0	0	0.00257464	0	0	0	0
ENSG00000041802	14.966	23.822	27.1723	22.4855	22.8878	31.3875	22.9102	16.3948	20.6793	17.272	18.0505	17.9263	13.8467	16.4185	17.9162	14.4912	21.0096	15.362	17.3993	24.2419	17.1651	15.9339
ENSG00000041880	30.5776	5.38073	6.85007	6.4603	7.01555	6.97811	9.28219	17.5059	21.585	29.1006	12.4151	28.8087	20.9037	44.8156	28.6387	26.1948	38.6966	56.9076	26.9709	22.0669	27.3873	28.9073
ENSG00000041982	0	0.0422045	0.0346449	0.0251711	0.0504882	0.0524931	0.14976	0	0.0119564	0.000886578	0.247739	0	0.0198545	0	0.0281544	0.00228157	0	0	0	0	0	0.00163597
ENSG00000041988	3.39	5.9544	6.57443	6.20125	6.18859	6.75168	7.5105	0.975353	1.16491	2.89499	1.50842	1.41832	1.87858	1.75546	1.19355	2.00366	6.53173	4.3786	4.03522	2.18397	1.11559	2.56589
